图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,Bedroom-预测置信度,Coast-预测置信度,Forest-预测置信度,Highway-预测置信度,Industrial-预测置信度,InsideCity-预测置信度,Kitchen-预测置信度,LivingRoom-预测置信度,Mountain-预测置信度,Office-预测置信度,OpenCountry-预测置信度,Store-预测置信度,Street-预测置信度,Suburb-预测置信度,TallBuilding-预测置信度
<DATA_ROOT>/data15/test/Bedroom/image_0003.jpg,0,Bedroom,0,Bedroom,6,Kitchen,7,LivingRoom,True,0.34007433,0.00091494067,0.0003705552,0.00023233533,0.012639374,0.0012323079,0.21422791,0.18275528,0.00076061167,0.16033183,0.0008070881,0.07495775,0.0008353266,0.0009659985,0.008894432
<DATA_ROOT>/data15/test/Bedroom/image_0004.jpg,0,Bedroom,0,Bedroom,6,Kitchen,7,LivingRoom,True,0.7183426,0.00014950598,3.5608755e-05,0.0002233391,0.0003136939,0.00017007488,0.18397172,0.050591733,0.0009103162,0.040411808,0.0027885071,0.001020606,0.00020736907,0.000208678,0.0006544068
<DATA_ROOT>/data15/test/Bedroom/image_0006.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,6,Kitchen,True,0.79592025,0.00030399978,8.379074e-05,5.0952026e-06,2.861967e-05,0.00031019037,0.017238408,0.1739003,2.8168872e-05,0.010596554,8.2188424e-05,0.00078357686,5.679203e-05,0.00039361938,0.00026837838
<DATA_ROOT>/data15/test/Bedroom/image_0007.jpg,0,Bedroom,7,LivingRoom,0,Bedroom,9,Office,True,0.468254,0.0007616087,9.482542e-05,0.00077383104,0.0017181566,0.002036192,0.01870346,0.4712383,6.718501e-05,0.033052824,0.00035897898,0.000917798,0.00023565248,1.0617568e-05,0.0017765495
<DATA_ROOT>/data15/test/Bedroom/image_0008.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,6,Kitchen,True,0.7855867,0.00029564902,0.00021745256,0.00032632163,0.002513314,0.003900387,0.04087908,0.13498612,0.0010165224,0.004328109,0.0054924046,0.014125512,0.0009968982,0.0048310948,0.0005043436
<DATA_ROOT>/data15/test/Bedroom/image_0011.jpg,0,Bedroom,9,Office,6,Kitchen,7,LivingRoom,False,0.053447343,6.5181506e-05,7.1293516e-06,8.495638e-05,6.173763e-05,0.0002125846,0.1057124,0.07954784,8.468628e-05,0.7458637,0.00027793818,0.013351552,1.9706391e-05,0.00012591509,0.0011373989
<DATA_ROOT>/data15/test/Bedroom/image_0014.jpg,0,Bedroom,7,LivingRoom,0,Bedroom,6,Kitchen,True,0.30775586,9.357154e-05,4.2971442e-05,0.00026454087,0.00039138948,0.0006900017,0.2019409,0.37774467,4.8995473e-05,0.10305023,0.00012257943,0.0055549657,0.00035697868,0.0005377606,0.0014045018
<DATA_ROOT>/data15/test/Bedroom/image_0016.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,6,Kitchen,True,0.829764,8.392587e-06,9.994541e-06,0.00026005198,0.00035565608,0.0014347505,0.010208543,0.15404555,9.342691e-06,0.001054332,2.6483644e-05,0.0011967628,0.0010189349,0.00056446815,4.2682695e-05
<DATA_ROOT>/data15/test/Bedroom/image_0017.jpg,0,Bedroom,9,Office,0,Bedroom,7,LivingRoom,True,0.27796078,0.00071510056,0.00029258605,0.0010203548,0.008519335,0.0023009318,0.1595694,0.23777813,0.00113617,0.28717688,0.0015993597,0.012060212,0.0009560915,0.007710923,0.001203765
<DATA_ROOT>/data15/test/Bedroom/image_0019.jpg,0,Bedroom,0,Bedroom,7,LivingRoom,9,Office,True,0.9594826,0.0012803047,0.00018852807,5.1131638e-06,0.0003029048,2.6338881e-05,0.0037738872,0.027968034,0.00024699862,0.0038210012,0.0001434194,0.0020557884,2.6272703e-05,0.00017672897,0.000502008
